sobject_id,ra,dec,gaiadr3_source_id,tmass_id
200801005101083,0.04804166778922081,-54.06202697753906,4971992787690858496,00001150-5403433
170910004101277,0.048500001430511475,5.378889083862305,2745002457453699584,00001163+0522440
161116001701037,0.04854166507720947,-58.0126953125,4919342879552582912,00001165-5800455
161118002501237,0.04870833456516266,-51.08222198486328,4976483124460627072,00001169-5104560
200801005101308,0.04920833185315132,-52.69710922241211,4973101301570937216,00001179-5241490
170713005601076,0.049291666597127914,-62.228668212890625,4904773250972820480,00001181-6213432
170713005601102,0.04987499862909317,-63.02108383178711,4904490745204265216,00001196-6301159
170828002701169,0.05012499913573265,-30.347333908081055,2314829528201886592,00001203-3020502
140713004601340,0.05037499964237213,-75.39833068847656,4685243625500286336,00001208-7523540
161116001701346,0.05112500116229057,-56.8968620300293,4922509198162662912,00001226-5653487
170713005601297,0.051375001668930054,-61.16597366333008,4905827407745927936,00001232-6109575
201002002601081,0.05158333480358124,-66.81864166259766,4707692388763995392,00001237-6649070
140711003901067,0.05391666665673256,-81.58152770996094,4631131229458759168,00001294-8134535
161116001701381,0.054625000804662704,-57.40591812133789,4919431733836034816,00001309-5724214
200801005101310,0.055666666477918625,-52.87977600097656,4972344906290743040,00001322-5252469
170713005601296,0.05533333495259285,-61.55033493041992,4905569366110876032,00001328-6133012
140713004601334,0.056333333253860474,-75.24622344970703,4688248655202849280,00001351-7514464
200801005101090,0.057374998927116394,-54.18252944946289,4971978768917606784,00001375-5410568
140811005001177,0.05741666629910469,-73.13849639892578,4689466845367307264,00001378-7308186
170711005801275,0.05941666662693024,-64.02703094482422,4901329374396440064,00001425-6401372
170910004101117,0.061791665852069855,3.7644166946411133,2740303763231799424,00001482+0345518
170910004101259,0.06316666305065155,5.018610954284668,2744951364522757632,00001516+0501070
140713004601006,0.06525000184774399,-76.02774810791016,4685151335243015808,00001566-7601399
201002002601310,0.06533333659172058,-65.31427764892578,4900221341553250304,00001568-6518515
200801005101354,0.06624999642372131,-53.3513069152832,4972273197516258944,00001586-5321042
140711003901381,0.06720833480358124,-80.62249755859375,4634292325388636416,00001612-8037209
161116001701384,0.06791666895151138,-57.42655563354492,4919431012281529600,00001628-5725354
170910004101272,0.06912499666213989,5.038416862487793,2744957446196448256,00001659+0502183
150830005101007,0.06949999928474426,-73.77786254882812,4689374525045665408,00001668-7346401
170711005801296,0.06979166716337204,-63.30230712890625,4904424705787079424,00001674-6318082
140708007101232,0.0702499970793724,-77.47577667236328,4684026259970259968,00001686-7728327
170829001901206,0.07325000315904617,-29.96702766418457,2320855470397620608,00001758-2958012
170711005801145,0.07325000315904617,-64.38269805908203,4901118474322244352,00001759-6422576
140708007101177,0.07370833307504654,-77.89244079589844,4683814054225591424,00001769-7753328
201002002601086,0.07508333027362823,-67.04658508300781,4707673697066334208,00001802-6702475
200801005101091,0.07599999755620956,-54.1551399230957,4971979627911065600,00001825-5409177
